iter	Passed	Remaining
0	152	152735
1	154	76876
2	155	51753
3	157	39109
4	158	31573
5	160	26537
6	161	22908
7	162	20210
8	164	18115
9	165	16426
10	167	15036
11	169	13992
12	172	13061
13	173	12193
14	174	11476
15	176	10849
16	177	10255
17	178	9731
18	179	9261
19	180	8834
20	181	8476
21	182	8124
22	184	7841
23	185	7551
24	186	7283
25	188	7054
26	189	6827
27	190	6611
28	191	6422
29	192	6234
30	194	6086
31	195	5920
32	196	5761
33	197	5622
34	199	5489
35	199	5355
36	201	5239
37	202	5117
38	203	5004
39	203	4895
40	204	4791
41	205	4691
42	206	4598
43	207	4515
44	208	4429
45	209	4347
46	210	4267
47	211	4192
48	212	4120
49	213	4057
50	214	3992
51	215	3928
52	216	3865
53	217	3805
54	218	3747
55	218	3690
56	219	3638
57	220	3586
58	221	3535
59	222	3487
60	223	3439
61	224	3394
62	225	3349
63	226	3309
64	227	3267
65	228	3228
66	229	3189
67	229	3151
68	230	3115
69	231	3079
70	232	3048
71	233	3014
72	234	2981
73	235	2948
74	236	2917
75	237	2885
76	238	2856
77	239	2829
78	240	2800
79	241	2772
80	241	2745
81	243	2720
82	243	2695
83	244	2670
84	245	2647
85	246	2623
86	247	2599
87	248	2576
88	249	2553
89	250	2530
90	251	2508
91	252	2488
92	253	2468
93	253	2447
94	254	2426
95	255	2407
96	256	2387
97	257	2369
98	258	2351
99	259	2333
100	260	2314
101	260	2296
102	261	2280
103	262	2262
104	263	2245
105	264	2229
106	265	2213
107	266	2197
108	266	2181
109	267	2166
110	268	2151
111	269	2135
112	270	2121
113	271	2108
114	272	2094
115	273	2080
116	273	2066
117	274	2053
118	275	2039
119	276	2026
120	277	2014
121	278	2002
122	279	1989
123	279	1977
124	280	1964
125	281	1952
126	282	1941
127	283	1930
128	284	1919
129	285	1907
130	286	1897
131	286	1886
132	287	1875
133	288	1864
134	289	1854
135	290	1843
136	291	1833
137	292	1823
138	292	1814
139	293	1804
140	294	1796
141	295	1786
142	296	1778
143	297	1769
144	298	1760
145	299	1751
146	300	1742
147	301	1733
148	301	1724
149	302	1715
150	303	1706
151	304	1698
152	305	1689
153	306	1681
154	306	1672
155	307	1664
156	308	1655
157	309	1648
158	310	1640
159	310	1632
160	311	1625
161	312	1617
162	313	1609
163	314	1602
164	315	1594
165	316	1587
166	316	1580
167	317	1573
168	318	1566
169	319	1558
170	320	1551
171	320	1544
172	321	1538
173	322	1531
174	323	1524
175	324	1517
176	325	1511
177	325	1504
178	326	1498
179	327	1491
180	328	1486
181	329	1481
182	330	1475
183	331	1469
184	332	1464
185	333	1458
186	334	1453
187	335	1448
188	336	1443
189	337	1437
190	338	1432
191	339	1427
192	339	1421
193	340	1416
194	341	1410
195	342	1405
196	343	1399
197	344	1394
198	344	1388
199	345	1383
200	346	1377
201	347	1372
202	348	1367
203	349	1362
204	349	1356
205	350	1351
206	351	1346
207	352	1341
208	353	1336
209	354	1332
210	354	1327
211	355	1322
212	356	1317
213	357	1312
214	358	1308
215	359	1303
216	360	1299
217	360	1294
218	361	1289
219	362	1285
220	363	1280
221	364	1275
222	364	1271
223	365	1267
224	366	1263
225	367	1258
226	368	1254
227	369	1250
228	370	1245
229	370	1241
230	371	1237
231	372	1234
232	373	1230
233	374	1225
234	375	1221
235	376	1217
236	376	1213
237	377	1209
238	378	1205
239	379	1201
240	380	1197
241	381	1193
242	381	1189
243	382	1185
244	383	1181
245	384	1177
246	385	1174
247	386	1170
248	386	1167
249	387	1163
250	388	1159
251	389	1155
252	390	1152
253	391	1148
254	392	1145
255	392	1142
256	393	1138
257	394	1135
258	395	1131
259	396	1128
260	397	1124
261	397	1120
262	398	1117
263	399	1114
264	400	1110
265	401	1107
266	402	1104
267	402	1100
268	403	1097
269	404	1093
270	405	1090
271	406	1087
272	407	1084
273	408	1081
274	408	1077
275	409	1074
276	410	1071
277	411	1068
278	412	1065
279	413	1062
280	413	1058
281	414	1055
282	415	1052
283	416	1049
284	417	1046
285	418	1043
286	418	1040
287	419	1037
288	420	1034
289	421	1031
290	422	1028
291	422	1025
292	423	1023
293	424	1020
294	425	1017
295	426	1014
296	427	1011
297	428	1008
298	428	1005
299	429	1002
300	430	1000
301	431	997
302	432	994
303	433	991
304	434	989
305	434	986
306	435	983
307	436	981
308	437	978
309	438	975
310	439	973
311	440	970
312	440	967
313	441	964
314	442	962
315	443	959
316	444	957
317	445	956
318	446	953
319	447	951
320	448	948
321	449	945
322	450	943
323	450	940
324	451	938
325	452	935
326	453	933
327	454	930
328	455	928
329	455	925
330	456	923
331	457	921
332	458	918
333	459	916
334	460	913
335	461	911
336	461	908
337	462	906
338	463	904
339	464	901
340	465	899
341	466	896
342	466	894
343	467	892
344	468	889
345	469	887
346	470	885
347	471	883
348	472	880
349	473	878
350	473	876
351	474	873
352	475	871
353	476	869
354	477	866
355	477	864
356	478	862
357	479	860
358	480	857
359	481	855
360	482	853
361	483	851
362	484	849
363	484	847
364	485	845
365	486	843
366	487	840
367	488	838
368	489	836
369	490	834
370	490	832
371	491	829
372	492	827
373	493	825
374	494	823
375	495	821
376	495	819
377	496	817
378	497	815
379	498	813
380	499	811
381	500	809
382	500	807
383	501	805
384	502	802
385	503	800
386	504	798
387	505	796
388	505	794
389	506	792
390	507	790
391	508	788
392	509	786
393	510	784
394	511	782
395	511	780
396	512	778
397	513	776
398	514	775
399	515	773
400	516	771
401	517	769
402	517	767
403	518	765
404	519	763
405	520	761
406	521	759
407	522	757
408	522	755
409	523	753
410	524	751
411	525	749
412	526	748
413	527	746
414	528	744
415	529	743
416	530	741
417	530	739
418	531	737
419	532	735
420	533	733
421	534	731
422	535	730
423	536	728
424	536	726
425	537	724
426	538	722
427	539	720
428	540	719
429	541	717
430	542	715
431	542	713
432	543	712
433	544	710
434	545	708
435	546	706
436	547	704
437	547	703
438	548	701
439	549	699
440	550	697
441	551	695
442	552	694
443	553	692
444	553	690
445	554	689
446	555	687
447	556	685
448	557	684
449	558	682
450	559	680
451	560	678
452	560	677
453	561	675
454	562	673
455	563	672
456	564	670
457	564	668
458	565	666
459	566	665
460	567	663
461	568	661
462	569	660
463	570	658
464	570	656
465	571	655
466	572	653
467	573	651
468	574	650
469	575	648
470	576	647
471	576	645
472	577	643
473	578	642
474	579	640
475	580	638
476	581	637
477	582	635
478	583	634
479	583	632
480	584	630
481	585	629
482	586	627
483	587	626
484	588	624
485	589	623
486	590	621
487	590	620
488	591	618
489	592	616
490	593	615
491	594	613
492	595	612
493	596	610
494	596	608
495	597	607
496	598	605
497	599	604
498	600	602
499	601	601
500	602	599
501	602	598
502	603	596
503	604	594
504	605	593
505	606	591
506	607	590
507	607	588
508	608	587
509	609	585
510	610	584
511	611	582
512	612	581
513	613	579
514	613	578
515	614	576
516	615	575
517	616	573
518	617	572
519	618	570
520	619	569
521	619	567
522	620	566
523	621	564
524	622	563
525	623	561
526	624	560
527	624	558
528	625	557
529	626	555
530	627	554
531	628	552
532	629	551
533	630	549
534	631	548
535	631	546
536	632	545
537	633	544
